task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,sugar100_bitter100__readout_full,sugar100_bitter100__readout,sugar100_bitter100__readout_ratio,sugar100_bitter100__readout_trial_sd,sugar100_bitter100__n_active_full,sugar100_bitter100__n_active,sugar100_bitter100__jaccard_active,sugar100_bitter100__pearson_union,sugar100_bitter100__pearson_fullactive,sugar100_bitter100__mean_abs_rate_diff,suppression_full,suppression,jonCE100__readout_full,jonCE100__readout,jonCE100__readout_ratio,jonCE100__readout_trial_sd,jonCE100__n_active_full,jonCE100__n_active,jonCE100__jaccard_active,jonCE100__pearson_union,jonCE100__pearson_fullactive,jonCE100__mean_abs_rate_diff,jonF100__readout_full,jonF100__readout,jonF100__readout_ratio,jonF100__readout_trial_sd,jonF100__n_active_full,jonF100__n_active,jonF100__jaccard_active,jonF100__pearson_union,jonF100__pearson_fullactive,jonF100__mean_abs_rate_diff,specificity_full,specificity
bitter,0.0,mag,0,0,14687178,1.0,1.0,499,67.33333333333333,67.33333333333333,1.0,2.0548046676563256,355.0,355.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.632993161855452,282.0,282.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,act,2,0,4770900,0.3248343555174452,0.7615352296514358,486,67.33333333333333,73.33333333333333,1.0891089108910892,4.189935029992178,355.0,347.0,0.95,0.9904859400851648,0.9903862128897858,1.8861111111111115,2.0,4.0,2.0,1.4142135623730951,282.0,292.0,0.8819672131147541,0.9932405690054166,0.9929781082994302,1.5661202185792351,0.9702970297029704,0.9454545454545454,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,2,0,4770900,0.3248343555174452,0.7627094809660686,454,67.33333333333333,0.0,0.0,0.0,355.0,78.0,0.1485411140583554,0.4679279739929977,0.4921578494619715,17.6710875331565,2.0,0.0,0.0,0.0,282.0,125.0,0.2446483180428134,0.5879244661369987,0.6290725443110773,12.715596330275227,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,2,1,4770900,0.3248343555174452,0.7627094809660686,440,67.33333333333333,0.0,0.0,0.0,355.0,70.0,0.1424731182795699,0.4713058323832724,0.4968020699032105,18.00448028673835,2.0,0.0,0.0,0.0,282.0,101.0,0.2275641025641025,0.5729278663907912,0.6422521452840959,13.253205128205128,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,2,2,4770900,0.3248343555174452,0.7627094809660686,451,67.33333333333333,0.0,0.0,0.0,355.0,68.0,0.1494565217391304,0.4868527006762932,0.5055202912429337,17.917572463768114,2.0,0.0,0.0,0.0,282.0,111.0,0.2242990654205607,0.5823027686998397,0.6309327075973731,12.53582554517134,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,act,5,0,2071412,0.1410353983590312,0.5703254325772088,439,67.33333333333333,64.0,0.9504950495049506,1.4142135623730951,355.0,364.0,0.9224598930481284,0.9979900264225318,0.9979191776174474,1.0303030303030305,2.0,8.666666666666666,4.333333333333333,1.699673171197595,282.0,295.0,0.8259493670886076,0.981662251798731,0.9804562855780236,2.612869198312236,0.9702970297029704,0.8645833333333334,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,5,0,2071412,0.1410353983590312,0.5733365339714506,469,67.33333333333333,0.0,0.0,0.0,355.0,74.0,0.1753424657534246,0.5349171046773301,0.5536216876471993,17.38812785388128,2.0,0.0,0.0,0.0,282.0,97.0,0.2549668874172185,0.648991382542445,0.6845368291612552,12.367549668874172,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,5,1,2071412,0.1410353983590312,0.5733365339714506,454,67.33333333333333,0.0,0.0,0.0,355.0,82.0,0.1469816272965879,0.4745585300275138,0.5208086902467786,17.58180227471566,2.0,0.0,0.0,0.0,282.0,107.0,0.219435736677116,0.5933961974664445,0.6277313343064213,12.951933124346915,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,5,2,2071412,0.1410353983590312,0.5733365339714506,434,67.33333333333333,0.0,0.0,0.0,355.0,53.0,0.1396648044692737,0.5760558313356517,0.5770640979633849,17.534450651769088,2.0,0.0,0.0,0.0,282.0,83.0,0.2126245847176079,0.6820969148901045,0.7000857120241749,12.235880398671096,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,act,10,0,895137,0.060946834034421,0.4006782711076234,449,67.33333333333333,67.0,0.9950495049504952,4.242640687119285,355.0,361.0,0.9195710455764076,0.9969596905052812,0.9968256112594406,1.2439678284182305,2.0,16.0,8.0,3.265986323710904,282.0,309.0,0.7485207100591716,0.9631619799284104,0.959830830678678,3.828402366863905,0.9702970297029704,0.7611940298507462,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,10,0,895137,0.060946834034421,0.4067287727599152,422,67.33333333333333,0.0,0.0,0.0,355.0,53.0,0.1301939058171745,0.560503320965235,0.5796774100747454,17.71560480147738,2.0,0.0,0.0,0.0,282.0,62.0,0.1862068965517241,0.7213561841191498,0.730299727571733,12.429885057471266,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,10,1,895137,0.060946834034421,0.4067287727599152,426,67.33333333333333,0.0,0.0,0.0,355.0,53.0,0.1301939058171745,0.5247037110285099,0.5378273546061747,18.41828254847645,2.0,0.0,0.0,0.0,282.0,64.0,0.1728813559322033,0.5943072502537938,0.6173607464960476,13.898305084745765,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,10,2,895137,0.060946834034421,0.4067287727599152,419,67.33333333333333,0.0,0.0,0.0,355.0,51.0,0.1246537396121883,0.5607871468015821,0.5704027706156225,17.83471837488458,2.0,0.0,0.0,0.0,282.0,66.0,0.1877133105802047,0.6820762707092571,0.6938962249120453,12.838452787258248,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,act,31,0,150088,0.0102189814816706,0.15507845556924,411,67.33333333333333,64.66666666666667,0.9603960396039606,4.496912521077347,355.0,349.0,0.9610027855153204,0.9971586211312244,0.9971498529672106,1.2293407613741876,2.0,68.66666666666667,34.333333333333336,2.6246692913372702,282.0,356.0,0.6192893401015228,0.7178943730630006,0.7232735429193812,11.233502538071066,0.9702970297029704,-0.0618556701030927,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,31,0,150088,0.0102189814816706,0.1696945914260617,406,67.33333333333333,11.666666666666666,0.1732673267326732,2.0548046676563256,355.0,69.0,0.1876750700280112,0.4951403596265109,0.495387595374493,18.932773109243698,2.0,8.666666666666666,4.333333333333333,1.8856180831641267,282.0,73.0,0.1993243243243243,0.5946176566567897,0.6108826966465244,14.279279279279278,0.9702970297029704,0.2571428571428571,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,31,1,150088,0.0102189814816706,0.1696945914260617,404,67.33333333333333,1.3333333333333333,0.0198019801980198,0.4714045207910317,355.0,54.0,0.148876404494382,0.4720297727039018,0.4726473600945435,19.568352059925093,2.0,0.0,0.0,0.0,282.0,47.0,0.1228668941979522,0.6196510287320249,0.6219262148259864,14.312855517633672,0.9702970297029704,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,shuf,31,2,150088,0.0102189814816706,0.1696945914260617,402,67.33333333333333,7.666666666666667,0.1138613861386138,0.9428090415820634,355.0,77.0,0.180327868852459,0.4959719621030443,0.5126972438546589,18.02823315118397,2.0,5.333333333333333,2.6666666666666665,1.699673171197595,282.0,82.0,0.1818181818181818,0.600669095131378,0.6184125837409263,13.34307359307359,0.9702970297029704,0.3043478260869565,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,mag,0,0,14687178,1.0,1.0,807,32.666666666666664,32.666666666666664,1.0,2.867441755680876,99833.0,99833.0,1.0,1.0,1.0,0.0,1.3333333333333333,1.3333333333333333,1.0,0.4714045207910317,99586.0,99586.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,act,2,0,4770900,0.3248343555174452,0.68702454854457,828,32.666666666666664,42.0,1.2857142857142858,6.164414002968976,99833.0,99847.0,0.7624162613968349,0.9987524980169284,0.9988427242384216,0.6586642424028456,1.3333333333333333,4.0,3.0,0.816496580927726,99586.0,99741.0,0.7608547778690624,0.998731819355047,0.9988270217042932,0.6624852398578315,0.9591836734693876,0.9047619047619048,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,shuf,2,0,4770900,0.3248343555174452,0.7627094809660686,785,32.666666666666664,3.0,0.0918367346938775,1.4142135623730951,99833.0,107163.0,0.7239179499138024,0.7732260451523204,0.7914674989364525,3.7051626926952768,1.3333333333333333,1.3333333333333333,1.0,0.9428090415820634,99586.0,107126.0,0.7205067168278594,0.7735117380380139,0.7933412869072416,3.695539870934807,0.9591836734693876,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,shuf,2,1,4770900,0.3248343555174452,0.7627094809660686,770,32.666666666666664,2.333333333333333,0.0714285714285714,0.4714045207910317,99833.0,106739.0,0.7203294552662042,0.7746371370846634,0.7924010033338753,3.681731999744608,1.3333333333333333,1.3333333333333333,1.0,0.4714045207910317,99586.0,106703.0,0.7215856457333611,0.7749394858442774,0.7929149646667933,3.677563112872938,0.9591836734693876,0.4285714285714286,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,shuf,2,2,4770900,0.3248343555174452,0.7627094809660686,789,32.666666666666664,3.333333333333333,0.1020408163265306,1.699673171197595,99833.0,106950.0,0.7214272037827894,0.7616862538851734,0.7797181117131078,3.736095502110337,1.3333333333333333,2.0,1.5,0.816496580927726,99586.0,106781.0,0.7198396559770651,0.7616930223774894,0.7802418562377749,3.7327655177011807,0.9591836734693876,0.4,,,,,,,,,,,,,,,,,,,,,,
