task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,sugar100_bitter100__readout_full,sugar100_bitter100__readout,sugar100_bitter100__readout_ratio,sugar100_bitter100__readout_trial_sd,sugar100_bitter100__n_active_full,sugar100_bitter100__n_active,sugar100_bitter100__jaccard_active,sugar100_bitter100__pearson_union,sugar100_bitter100__pearson_fullactive,sugar100_bitter100__mean_abs_rate_diff,suppression_full,suppression,jonCE100__readout_full,jonCE100__readout,jonCE100__readout_ratio,jonCE100__readout_trial_sd,jonCE100__n_active_full,jonCE100__n_active,jonCE100__jaccard_active,jonCE100__pearson_union,jonCE100__pearson_fullactive,jonCE100__mean_abs_rate_diff,jonF100__readout_full,jonF100__readout,jonF100__readout_ratio,jonF100__readout_trial_sd,jonF100__n_active_full,jonF100__n_active,jonF100__jaccard_active,jonF100__pearson_union,jonF100__pearson_fullactive,jonF100__mean_abs_rate_diff,specificity_full,specificity
bitter,0.0,mag,0,0,14687178,1.0,1.0,434,65.0,65.0,1.0,3.559026084010437,360.0,360.0,1.0,1.0,1.0,0.0,2.333333333333333,2.333333333333333,1.0,0.9428090415820634,280.0,280.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,mag,2,0,4770900,0.3248343555174452,0.7627094809660686,338,65.0,70.66666666666667,1.087179487179487,2.867441755680876,360.0,341.0,0.9153005464480874,0.9915062170231744,0.9914384021204672,2.1448087431693987,2.333333333333333,3.0,1.2857142857142856,2.8284271247461903,280.0,277.0,0.862876254180602,0.9930230417114536,0.992978659098156,2.016722408026756,0.964102564102564,0.9575471698113208,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,2,0,4770900,0.3248343555174452,0.7627094809660686,343,65.0,0.0,0.0,0.0,360.0,61.0,0.0,-0.2205261360325448,,18.92399049881235,2.333333333333333,0.0,0.0,0.0,280.0,92.0,0.0026954177897574,-0.2115921069767104,-0.0246619548408934,15.097933513027854,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,2,1,4770900,0.3248343555174452,0.7627094809660686,338,65.0,0.0,0.0,0.0,360.0,92.0,0.0,-0.2488362138747864,,17.845870206489675,2.333333333333333,0.0,0.0,0.0,280.0,115.0,0.0,-0.2334323812718172,,14.48438818565401,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,2,2,4770900,0.3248343555174452,0.7627094809660686,336,65.0,0.0,0.0,0.0,360.0,67.0,0.0,-0.2148575425256237,,18.60421545667448,2.333333333333333,0.0,0.0,0.0,280.0,90.0,0.0,-0.2144874302372273,,15.01801801801802,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,335,65.0,65.0,1.0,3.559026084010437,360.0,321.0,0.8257372654155496,0.9487984061350192,0.9480977035359578,5.948168007149241,2.333333333333333,8.666666666666666,3.714285714285714,4.642796092394707,280.0,268.0,0.7232704402515723,0.9333942726365068,0.9324546590544373,5.818658280922431,0.964102564102564,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,5,0,2071412,0.1410353983590312,0.5733365339714506,344,65.0,0.0,0.0,0.0,360.0,74.0,0.0046296296296296,-0.2321389570721979,-0.0179824907077683,18.613425925925927,2.333333333333333,0.0,0.0,0.0,280.0,100.0,0.0,-0.2305249250400888,,14.850877192982455,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,5,1,2071412,0.1410353983590312,0.5733365339714506,340,65.0,0.0,0.0,0.0,360.0,60.0,0.0047846889952153,-0.2193085518178986,-0.0477089409827106,19.01834130781499,2.333333333333333,0.0,0.0,0.0,280.0,85.0,0.0027472527472527,-0.2109371946455355,-0.0451367504030119,15.186813186813186,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,5,2,2071412,0.1410353983590312,0.5733365339714506,341,65.0,0.0,0.0,0.0,360.0,73.0,0.0,-0.2228819988982204,,18.463433410315627,2.333333333333333,0.0,0.0,0.0,280.0,96.0,0.0026666666666666,-0.2169656057031189,-0.0469171674084136,14.919111111111109,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,mag,10,0,895137,0.060946834034421,0.4067287727599152,338,65.0,56.0,0.8615384615384616,7.118052168020874,360.0,281.0,0.713903743315508,0.8007745487100789,0.7993985688776456,10.882352941176473,2.333333333333333,4.0,1.7142857142857142,2.160246899469287,280.0,192.0,0.5225806451612903,0.7965383293597014,0.7985879091414524,10.131182795698924,0.964102564102564,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,10,0,895137,0.060946834034421,0.4067287727599152,337,65.0,0.0,0.0,0.0,360.0,71.0,0.0023255813953488,-0.2095485439360485,0.0765235252757952,18.63720930232558,2.333333333333333,0.0,0.0,0.0,280.0,103.0,0.0026178010471204,-0.2114052369260851,0.0964064015264161,14.63612565445026,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,10,1,895137,0.060946834034421,0.4067287727599152,338,65.0,0.0,0.0,0.0,360.0,56.0,0.0072639225181598,-0.2002771447593869,-0.0414326470729613,19.09443099273608,2.333333333333333,0.0,0.0,0.0,280.0,91.0,0.0081521739130434,-0.2092703649212786,-0.0726741167305433,15.018115942028984,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,10,2,895137,0.060946834034421,0.4067287727599152,339,65.0,0.0,0.0,0.0,360.0,61.0,0.0023809523809523,-0.2206613201866407,-0.035002146737509,18.936507936507937,2.333333333333333,0.0,0.0,0.0,280.0,124.0,0.0049751243781094,-0.230396105911766,-0.0004764690516655,14.50663349917081,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,mag,31,0,150088,0.0102189814816706,0.1696945914260617,339,65.0,6.333333333333333,0.0974358974358974,0.4714045207910317,360.0,54.0,0.143646408839779,0.4725522123401902,0.4754485288441204,19.00920810313076,2.333333333333333,4.333333333333333,1.857142857142857,0.9428090415820634,280.0,68.0,0.1958762886597938,0.5831181692995187,0.5866233632735837,14.822451317296675,0.964102564102564,0.3157894736842105,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,31,0,150088,0.0102189814816706,0.1696945914260617,342,65.0,0.0,0.0,0.0,360.0,67.0,0.0094562647754137,-0.1589285067215639,0.1103501960360282,18.78565799842396,2.333333333333333,0.0,0.0,0.0,280.0,100.0,0.0133333333333333,-0.193845367355859,0.0087927634494443,15.005333333333333,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,31,1,150088,0.0102189814816706,0.1696945914260617,336,65.0,0.0,0.0,0.0,360.0,43.0,0.0,-0.2225191353000918,,19.705541770057906,2.333333333333333,0.0,0.0,0.0,280.0,72.0,0.0057142857142857,-0.2074457411138247,0.0555993693096591,15.74,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,0.0,dp,31,2,150088,0.0102189814816706,0.1696945914260617,340,65.0,0.0,0.0,0.0,360.0,69.0,0.0117924528301886,-0.2537574495486132,-0.0382217722134748,18.90801886792453,2.333333333333333,0.0,0.0,0.0,280.0,85.0,0.0082872928176795,-0.2577438122804497,-0.019872197103825,15.833333333333334,0.964102564102564,1.0,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,mag,0,0,14687178,1.0,1.0,704,29.666666666666668,29.666666666666668,1.0,6.79869268479038,99528.0,99528.0,1.0,1.0,1.0,0.0,3.6666666666666665,3.6666666666666665,1.0,2.494438257849294,99428.0,99428.0,1.0,0.9999999999999998,0.9999999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,
bitter,3.5,mag,2,0,4770900,0.3248343555174452,0.7627094809660686,694,29.666666666666668,38.66666666666666,1.3033707865168538,6.128258770283412,99528.0,100330.0,0.756267739922845,0.9729163473930352,0.9729897333063704,1.5957655591389346,3.6666666666666665,1.6666666666666667,0.4545454545454546,0.4714045207910317,99428.0,100154.0,0.7565127085826938,0.9730837899927466,0.9731543588360332,1.5702375085075924,0.8764044943820225,0.956896551724138,,,,,,,,,,,,,,,,,,,,,,
