task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff
sugar,0.0,mag,0,0,15091983,1.0,1.0,467,65.0,65.0,1.0,3.559026084010437,350,350,1.0,1.0,1.0,0.0
sugar,0.0,mag,5,0,2142157,0.1419400618195766,0.5755203584054458,425,65.0,46.0,0.7076923076923077,6.48074069840786,350,313,0.8571428571428571,0.9399540448557214,0.9397941487932288,6.76750700280112
sugar,0.0,mag,10,0,929679,0.061600851259904,0.4091069111691239,436,65.0,45.333333333333336,0.6974358974358975,4.496912521077348,350,267,0.6811989100817438,0.8092197655934884,0.8084152639111652,10.567665758401454
sugar,0.0,mag,20,0,337128,0.022338217582142782,0.25353978999327653,423,65.0,4.0,0.06153846153846154,0.0,350,147,0.3960674157303371,0.5997750685602886,0.6009067154022013,16.823970037453183
