task,noise,method,k,seed,n_edges,frac_edges,frac_syn,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,wall_s
sugar,3.5,dp,20,0,323821,0.0220478705984226,0.2519982378937735,49.333333333333336,8.0,0.1621621621621621,2.160246899469287,99827,115460,0.725180501799008,0.1238917757085107,0.14808530221209,4.847638585047534,185
sugar,3.5,dp,20,1,323821,0.0220478705984226,0.2519982378937735,49.333333333333336,1.3333333333333333,0.027027027027027,0.4714045207910317,99827,115820,0.7259768532599126,0.1285793327486379,0.1518919266929813,4.828461739580499,188
sugar,3.5,dp,20,2,323821,0.0220478705984226,0.2519982378937735,49.333333333333336,6.0,0.1216216216216216,1.632993161855452,99827,115123,0.7226042217627543,0.1399464107477356,0.163211645316907,4.879985361136488,160
sugar,3.5,act,20,0,323821,0.0220478705984226,0.1115154422296974,49.333333333333336,54.0,1.0945945945945943,31.016124838541646,99827,108562,0.7484792294203032,0.9582192509644004,0.9583539490985667,1.780858008272992,163
sugar,3.5,mag,31,0,150088,0.0102189814816706,0.1696945914260617,49.333333333333336,61.333333333333336,1.2432432432432432,26.51205176686424,99827,113035,0.7305009511731135,0.7032132066668377,0.7052061878776861,3.94313014541296,165
sugar,3.5,rand,31,0,150088,0.0102189814816706,0.0101525678121941,49.333333333333336,0.3333333333333333,0.0067567567567567,0.4714045207910317,99827,115098,0.7231772044321152,0.0011230596127187,0.0111499297510803,4.781197718732796,169
sugar,3.5,rand,31,1,150088,0.0102189814816706,0.0103111285812292,49.333333333333336,1.0,0.0202702702702702,0.0,99827,114799,0.7202006924852526,0.0006921032415282,0.0108439726314687,4.778861567068479,160
sugar,3.5,rand,31,2,150088,0.0102189814816706,0.0102892698872301,49.333333333333336,1.0,0.0202702702702702,0.0,99827,114959,0.7230436003369299,-0.0022239093692877,0.0075407217225502,4.781436765472705,160
sugar,3.5,dp,31,0,150088,0.0102189814816706,0.1696945914260617,49.333333333333336,5.666666666666667,0.1148648648648648,2.6246692913372702,99827,115190,0.7236660681074841,0.1491217621266167,0.1731403681497879,4.844575022980398,160
sugar,3.5,dp,31,1,150088,0.0102189814816706,0.1696945914260617,49.333333333333336,4.666666666666667,0.0945945945945946,0.9428090415820634,99827,115037,0.7230058619279408,0.1338034308820116,0.1573179704574792,4.90791186525852,164
sugar,3.5,dp,31,2,150088,0.0102189814816706,0.1696945914260617,49.333333333333336,16.0,0.3243243243243243,1.4142135623730951,99827,115215,0.7240046819632178,0.1386562287199015,0.1620775993286039,4.845425732625693,156
sugar,3.5,act,31,0,150088,0.0102189814816706,0.0734374078665045,49.333333333333336,78.0,1.581081081081081,14.98888477061141,99827,109886,0.7385245425982574,0.927787176124915,0.9282533808248532,2.195271373738881,162
sugar,3.5,mag,50,0,61753,0.0042045517525558,0.1045522169820496,49.333333333333336,27.0,0.5472972972972973,25.45584412271571,99827,114673,0.7259414225941423,0.5955672333125293,0.5982018636920983,4.298294174444802,160
sugar,3.5,rand,50,0,61753,0.0042045517525558,0.0042249597532005,49.333333333333336,0.6666666666666666,0.0135135135135135,0.4714045207910317,99827,115083,0.7227254509018036,-0.0078035317247769,0.0009878766552101,4.779345357381429,157
sugar,3.5,rand,50,1,61753,0.0042045517525558,0.0041586449458428,49.333333333333336,0.6666666666666666,0.0135135135135135,0.4714045207910317,99827,115176,0.722752840499351,-0.0022558822362351,0.0072998091523648,4.77633371260076,155
sugar,3.5,rand,50,2,61753,0.0042045517525558,0.0042123256553692,49.333333333333336,0.3333333333333333,0.0067567567567567,0.4714045207910317,99827,114835,0.7216069036868318,-0.0054656894876706,0.0033959254635083,4.780990266293466,161
sugar,3.5,dp,50,0,61753,0.0042045517525558,0.1045522169820496,49.333333333333336,3.6666666666666665,0.0743243243243243,2.494438257849294,99827,115203,0.723604475937029,0.1232197176098761,0.1437735295809623,4.809027221135657,158
