task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,sugar100_bitter100__readout_full,sugar100_bitter100__readout,sugar100_bitter100__readout_ratio,sugar100_bitter100__readout_trial_sd,sugar100_bitter100__n_active_full,sugar100_bitter100__n_active,sugar100_bitter100__jaccard_active,sugar100_bitter100__pearson_union,sugar100_bitter100__pearson_fullactive,sugar100_bitter100__mean_abs_rate_diff,suppression_full,suppression
bitter,3.5,mag,0,0,14687178,1.0,1.0,3096,34.8,34.8,1.0,22.319498202244603,118414,118414,1.0,1.0,1.0,0.0,5.9,5.9,1.0,9.213576938409968,118137,118137,1.0,1.0,1.0,0.0,,
bitter,3.5,mag,2,0,4770900,0.3248343555174452,0.7627094809660686,2157,34.8,40.2,1.1551724137931036,9.826494797230598,118414,118301,0.9305077557944184,0.9738112088715342,0.9737763646004274,1.2459345283726695,5.9,3.5,0.5932203389830508,2.0615528128088303,118137,118241,0.9292226076310957,0.9738622106057112,0.973825421698242,1.2621244643950214,0.8304597701149425,0.9129353233830846
bitter,3.5,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,2096,34.8,53.5,1.5373563218390809,26.28022069922549,118414,119415,0.9289897154722124,0.9429124338533642,0.942855431415243,1.7667099244070987,5.9,15.1,2.559322033898305,23.21400439389982,118137,119181,0.9282075448702845,0.9429616036550852,0.9429144083591688,1.7824995734377669,0.8304597701149425,0.7177570093457943
bitter,3.5,mag,10,0,895137,0.060946834034421,0.4067287727599152,2037,34.8,51.5,1.4798850574712643,26.39033914143583,118414,121176,0.927017984107068,0.8824841256528476,0.8824508538650526,2.43535373033491,5.9,31.0,5.2542372881355925,35.17101079013795,118137,121031,0.9247539413644082,0.8825163545706571,0.8824583143187529,2.4520630296397044,0.8304597701149425,0.3980582524271845
bitter,3.5,mag,31,0,150088,0.010218981481670612,0.16969459142606177,2019,34.8,29.9,0.8591954022988506,12.020399327809372,118414,125888,0.929014733982913,0.7048104629598,0.705075421386208,3.6313993335754784,5.9,48.1,8.152542372881356,33.97484363466593,118137,125919,0.9269505897958217,0.7045312822077013,0.7047993170019176,3.6574857485748575,0.8304597701149425,-0.6086956521739131
