k,frac_edges_removed,frac_mass_removed,inh_share_removed,inh_share_kept,inh_mass_share_removed,inh_mass_share_kept
1,0.49738118513985463,0.13837132916713699,0.40008604916602397,0.4015099053759036,0.40008604916602397,0.4046874207560929
2,0.6751656444825548,0.23729051903393134,0.40299283662680696,0.39624745855079757,0.4046878729316388,0.4038524957738137
3,0.7665978447323236,0.313599769093394,0.40354932371058977,0.3917772917828052,0.4054107516921434,0.40342935836253463
5,0.8589646016409688,0.4266634660285494,0.4030088224527944,0.38735944370313585,0.40351080085399776,0.40445252001402643
10,0.939053165965579,0.5932712272400847,0.4016399748231607,0.3878858766870323,0.39865544295324146,0.4119204988363825
20,0.9779521294015774,0.7480017621062265,0.400692748916566,0.40563459442099187,0.39433665482941327,0.4328848133600483
31,0.9897810185183293,0.8303054085739382,0.4004727906341641,0.4326595064228986,0.3931668377786402,0.45730491656523004
50,0.9957954482474441,0.8954477830179504,0.4004657642427485,0.48036532638090457,0.3937629113134979,0.4921617003267574
