k,n_neurons_with_input,median_inh_frac_full,median_inh_frac_pruned,frac_neurons_lost_all_inhibition,frac_neurons_lost_all_excitation
1,124991,0.4481818181818182,0.4485294117647059,0.009056652078949684,0.017625269019369394
2,123357,0.44871794871794873,0.44516129032258067,0.014891736991009832,0.03418533200385872
3,121673,0.4486486486486487,0.4421768707482993,0.02473021952281936,0.047759157742473676
5,117410,0.4477481928337407,0.44036697247706424,0.05719274337790648,0.08205433949408057
10,101049,0.44680851063829785,0.4583333333333333,0.1762808142584291,0.19213450900058388
20,62266,0.43962356351996645,0.5111111111111111,0.2884077987987023,0.31998201265538173
31,35197,0.4468814256339959,0.56,0.2713867659175498,0.3629002471801574
50,19563,0.4628344895936571,0.5977653631284916,0.2795583499463273,0.41256453509175484
