k,pre_class,post_class,all,removed,frac_removed
10,visual_centrifugal,visual_centrifugal,1341,1269,0.9463087248322147
10,visual_centrifugal,visual_projection,19293,17862,0.9258280205255792
10,visual_projection,ascending,763,747,0.9790301441677588
10,visual_projection,central,245586,220907,0.8995097440407841
10,visual_projection,descending,12251,10135,0.8272794057627949
10,visual_projection,endocrine,7,7,1.0
10,visual_projection,motor,65,55,0.8461538461538461
10,visual_projection,optic,164038,162214,0.9888806252209854
10,visual_projection,sensory,144,144,1.0
10,visual_projection,unknown,207491,195348,0.9414769797244218
10,visual_projection,visual_centrifugal,8311,7783,0.9364697389002526
10,visual_projection,visual_projection,199398,195766,0.9817851733718492
