task,noise,method,k,seed,n_edges,frac_edges,frac_syn,wall_s,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff
sugar,0.0,mag,0,0,14687178,1.0,1.0,168,81.0,81.0,1.0,2.160246899469287,457,457,1.0,1.0,1.0,0.0
sugar,0.0,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,211,81.0,70.66666666666667,0.8724279835390947,6.79869268479038,457,382,0.8043010752688172,0.9779473936515508,0.9777948421886644,4.377777777777778
sugar,0.0,mag,10,0,895137,0.060946834034421,0.4067287727599152,229,81.0,78.33333333333333,0.9670781893004116,1.247219128924647,457,411,0.7678207739307535,0.9336661316577596,0.9319363886167004,6.966734555329261
sugar,0.0,mag,20,0,323821,0.022047870598422652,0.2519982378937735,174,81.0,45.333333333333336,0.5596707818930041,1.8856180831641267,457,254,0.475103734439834,0.6169921971999097,0.616464760618011,15.629322268326417
